M2, ADC,
704,48208,
705,48221,
706,48214,
707,48207,
708,48211,
709,48151,
710,48133,
711,48138,
712,48171,
713,48205,
714,48131,
715,48164,
716,48251,
717,48134,
718,48136,
719,48238,
720,48233,
721,48217,
722,48146,
723,48139,
724,48218,
725,48160,
726,48163,
727,48178,
728,48217,
729,48173,
730,48143,
731,48194,
732,48166,
733,48243,
734,48141,
735,48250,
736,48148,
737,48202,
738,48155,
739,48189,
740,48201,
741,48171,
742,48240,
743,48157,
744,48166,
745,48174,
746,48218,
747,48216,
748,48231,
749,48135,
750,48137,
751,48144,
752,48228,
753,48155,
754,48148,
755,48184,
756,48201,
757,48192,
758,48142,
759,48314,
760,48125,
761,48234,
762,48233,
763,48210,
764,48183,
765,48149,
766,48220,
767,48149,
768,48165,
769,48160,
770,48193,
771,48216,
772,48153,
773,48132,
774,48149,
775,48166,
776,48176,
777,48285,
778,48191,
779,48155,
780,48140,
781,48153,
782,48125,
783,48172,
784,48183,
785,48186,
786,48262,
787,48166,
788,48117,
789,48129,
790,48145,
791,48242,
792,48150,
793,48174,
794,48221,
795,48122,
796,48199,
797,48239,
798,48198,48181.96621
