M1, ADC,
741,6333,
742,6343,
743,6344,
744,6344,
745,6338,
746,6338,
747,6344,
748,6347,
749,6344,
750,6341,
751,6341,
752,6338,
753,6344,
754,6346,
755,6342,
756,6336,
757,6343,
758,6340,
759,6349,
760,6343,
761,6340,
762,6338,
763,6343,
764,6344,
765,6341,
766,6341,
767,6337,
768,6338,
769,6345,
770,6346,
771,6339,
772,6336,
773,6340,
774,6346,
775,6345,
776,6341,
777,6341,
778,6341,
779,6341,
780,6343,
781,6345,
782,6343,
783,6335,
784,6344,
785,6343,
786,6349,
787,6337,
788,6339,
789,6339,
790,6345,
791,6339,
792,6345,
793,6341,
794,6347,
795,6342,
796,6346,
797,6344,
798,6341,6341.61577
